date,EM_Credit_Spread,EZ_Credit_HY_Spread,US_Credit_AAA_Spread,US_Credit_BAA_Spread,US_Credit_HY_Spread,US_Credit_IG_Spread,US_Credit_Mort_30Y,US_Rates_30Y,US_Mort_Spread_30Y
1971-04-30,,,,,,,7.29,,
1971-05-31,,,,,,,7.46,,
1971-06-30,,,,,,,7.54,,
1971-07-31,,,,,,,7.69,,
1971-08-31,,,,,,,7.69,,
1971-09-30,,,,,,,7.67,,
1971-10-31,,,,,,,7.63,,
1971-11-30,,,,,,,7.51,,
1971-12-31,,,,,,,7.48,,
1972-01-31,,,,,,,7.4,,
1972-02-29,,,,,,,7.31,,
1972-03-31,,,,,,,7.23,,
1972-04-30,,,,,,,7.33,,
1972-05-31,,,,,,,7.4,,
1972-06-30,,,,,,,7.38,,
1972-07-31,,,,,,,7.4,,
1972-08-31,,,,,,,7.42,,
1972-09-30,,,,,,,7.43,,
1972-10-31,,,,,,,7.42,,
1972-11-30,,,,,,,7.44,,
1972-12-31,,,,,,,7.45,,
1973-01-31,,,,,,,7.43,,
1973-02-28,,,,,,,7.45,,
1973-03-31,,,,,,,7.49,,
1973-04-30,,,,,,,7.56,,
1973-05-31,,,,,,,7.7,,
1973-06-30,,,,,,,7.76,,
1973-07-31,,,,,,,8.18,,
1973-08-31,,,,,,,8.66,,
1973-09-30,,,,,,,8.85,,
1973-10-31,,,,,,,8.68,,
1973-11-30,,,,,,,8.55,,
1973-12-31,,,,,,,8.56,,
1974-01-31,,,,,,,8.52,,
1974-02-28,,,,,,,8.42,,
1974-03-31,,,,,,,8.41,,
1974-04-30,,,,,,,8.73,,
1974-05-31,,,,,,,9.03,,
1974-06-30,,,,,,,9.1,,
1974-07-31,,,,,,,9.42,,
1974-08-31,,,,,,,9.74,,
1974-09-30,,,,,,,10.03,,
1974-10-31,,,,,,,9.94,,
1974-11-30,,,,,,,9.72,,
1974-12-31,,,,,,,9.56,,
1975-01-31,,,,,,,9.29,,
1975-02-28,,,,,,,9.02,,
1975-03-31,,,,,,,8.86,,
1975-04-30,,,,,,,8.84,,
1975-05-31,,,,,,,8.89,,
1975-06-30,,,,,,,8.9,,
1975-07-31,,,,,,,8.89,,
1975-08-31,,,,,,,9.02,,
1975-09-30,,,,,,,9.14,,
1975-10-31,,,,,,,9.24,,
1975-11-30,,,,,,,9.11,,
1975-12-31,,,,,,,9.09,,
1976-01-31,,,,,,,8.9,,
1976-02-29,,,,,,,8.75,,
1976-03-31,,,,,,,8.75,,
1976-04-30,,,,,,,8.75,,
1976-05-31,,,,,,,8.78,,
1976-06-30,,,,,,,8.9,,
1976-07-31,,,,,,,8.98,,
1976-08-31,,,,,,,9.0,,
1976-09-30,,,,,,,8.97,,
1976-10-31,,,,,,,8.9,,
1976-11-30,,,,,,,8.8,,
1976-12-31,,,,,,,8.78,,
1977-01-31,,,,,,,8.73,,
1977-02-28,,,,,,,8.65,7.8,0.8500000000000005
1977-03-31,,,,,,,8.7,7.79,0.9099999999999993
1977-04-30,,,,,,,8.78,7.8,0.9799999999999995
1977-05-31,,,,,,,8.85,7.74,1.1099999999999994
1977-06-30,,,,,,,8.88,7.58,1.3000000000000007
1977-07-31,,,,,,,8.93,7.72,1.21
1977-08-31,,,,,,,8.93,7.6,1.33
1977-09-30,,,,,,,8.9,7.68,1.2200000000000006
1977-10-31,,,,,,,8.9,7.83,1.0700000000000003
1977-11-30,,,,,,,8.93,7.83,1.0999999999999996
1977-12-31,,,,,,,9.0,8.03,0.9700000000000006
1978-01-31,,,,,,,9.05,8.18,0.870000000000001
1978-02-28,,,,,,,9.15,8.25,0.9000000000000004
1978-03-31,,,,,,,9.25,8.33,0.9199999999999999
1978-04-30,,,,,,,9.43,8.39,1.0399999999999991
1978-05-31,,,,,,,9.68,8.5,1.1799999999999997
1978-06-30,,,,,,,9.73,8.62,1.1100000000000012
1978-07-31,,,,,,,9.75,8.56,1.1899999999999995
1978-08-31,,,,,,,9.8,8.46,1.3399999999999999
1978-09-30,,,,,,,9.78,8.61,1.17
1978-10-31,,,,,,,9.88,8.87,1.0100000000000016
1978-11-30,,,,,,,10.28,8.8,1.4799999999999986
1978-12-31,,,,,,,10.38,8.96,1.42
1979-01-31,,,,,,,10.4,8.85,1.5500000000000007
1979-02-28,,,,,,,10.4,9.08,1.3200000000000003
1979-03-31,,,,,,,10.45,9.02,1.4299999999999997
1979-04-30,,,,,,,10.53,9.22,1.3099999999999987
1979-05-31,,,,,,,10.75,9.08,1.67
1979-06-30,,,,,,,11.1,8.83,2.2699999999999996
1979-07-31,,,,,,,11.08,8.99,2.09
1979-08-31,,,,,,,11.13,9.09,2.040000000000001
1979-09-30,,,,,,,11.35,9.25,2.0999999999999996
1979-10-31,,,,,,,12.0,10.19,1.8100000000000005
1979-11-30,,,,,,,12.9,10.09,2.8100000000000005
1979-12-31,,,,,,,12.9,10.11,2.790000000000001
1980-01-31,,,,,,,12.89,11.09,1.8000000000000007
1980-02-29,,,,,,,13.59,12.25,1.3399999999999999
1980-03-31,,,,,,,16.03,12.31,3.7200000000000006
1980-04-30,,,,,,,16.25,10.89,5.359999999999999
1980-05-31,,,,,,,13.2,10.37,2.83
1980-06-30,,,,,,,12.35,9.99,2.3599999999999994
1980-07-31,,,,,,,12.18,10.8,1.379999999999999
1980-08-31,,,,,,,12.95,11.27,1.6799999999999997
1980-09-30,,,,,,,13.43,11.7,1.7300000000000004
1980-10-31,,,,,,,14.0,12.23,1.7699999999999996
1980-11-30,,,,,,,14.28,12.32,1.959999999999999
1980-12-31,,,,,,,14.95,11.98,2.969999999999999
1981-01-31,,,,,,,15.07,12.28,2.790000000000001
1981-02-28,,,,,,,15.3,12.97,2.33
1981-03-31,,,,,,,15.4,12.65,2.75
1981-04-30,,,,,,,15.77,13.65,2.119999999999999
1981-05-31,,,,,,,16.8,13.06,3.74
1981-06-30,,,,,,,16.62,13.3,3.3200000000000003
1981-07-31,,,,,,,17.11,13.96,3.1499999999999986
1981-08-31,,,,,,,17.48,14.78,2.700000000000001
1981-09-30,,,,,,,18.36,15.19,3.17
1981-10-31,,,,,,,18.44,14.36,4.080000000000002
1981-11-30,,,,,,,17.21,12.91,4.300000000000001
1981-12-31,,,,,,,17.04,13.65,3.389999999999999
1982-01-31,,,,,,,17.59,13.91,3.6799999999999997
1982-02-28,,,,,,,17.52,13.83,3.6899999999999995
1982-03-31,,,,,,,17.04,13.68,3.3599999999999994
